id	command_preview	group_id
42	ls -l files ~/.local/share/Trash/files	33
43	trash-list	33
44	rm -r ~/.local/share/Trash	34
45	gio trash --empty	34
46	gvfs-trash --empty	34
47	trash-empty	34
48	gio trash [file]	35
49	ls -l [file]	36
50	chmod [permission] [file]	37
51	ls -l [file]	38
52	chown [user] [file]	39
53	chgrp [group] [file]	40
54	HZ=`awk '/\\#define HZ/ {print $3}' /usr/include/asm-generic/param.h`; NUMCPUS=`grep ^proc /proc/cpu	41
55	NUMCPUS=`grep ^proc /proc/cpuinfo | wc -l`; FIRST=`cat /proc/stat | awk '/^cpu / {print $5}'`; sleep	41
56	max=$(grep 'last full capacity:' /proc/acpi/battery/BAT1/info|awk '{print $4}') ; current=$(grep 're	42
57	upower -i $(upower -e | grep BAT) | grep --color=never -E percentage|xargs|cut -d' ' -f2|sed s/%//	42
58	cat /sys/class/power_supply/BAT1/uevent | awk '/POWER_SUPPLY_CAPACITY/ {print $1}' | sed 's/POWER_SU	42
59	hciconfig -a | awk '/BD Address:/ {print $3}'	43
60	hciconfig -a | awk '/Name:/ {print $2}'	44
61	ifconfig -a	45
62	cat /proc/meminfo	46
63	cat /proc/version	47
64	lspci	48
65	lsusb	49
66	lsblk	50
67	curl ifconfig.me	51
68	dig +short myip.opendns.com @resolver1.opendns.com	51
69	netcat icanhazip.com 80 <<< $'GET / HTTP/1.1
Host: icanhazip.com

' | tail -n1	51
70	uptime	52
71	df -k	53
72	cat /var/log/boot.log	54
73	cal	55
74	gnome-screensaver-command -l	56
75	dbus-send --type=method_call --dest=org.freedesktop.ScreenSaver /ScreenSaver org.freedesktop.ScreenS	56
76	gnome-screensaver-command -a	57
77	dbus-send --type=method_call --dest=org.freedesktop.ScreenSaver /ScreenSaver org.freedesktop.ScreenS	57
78	reboot	58
79	shutdown -r	58
80	poweroff	59
81	shutdown -h now	59
82	reboot -p	59
83	shutdown -h 18:45 "Server is going down for maintenance"	60
84	service bluetooth stop	61
85	service bluetooth start	62
86	nmcli nm wifi off	63
87	nmcli nm wifi on	64
88	xset dpms force off	65
89	import -window root [fileName]	66
90	gnome-screenshot	66
91	uvccapture -d/dev/video0 -oscreenURC.jpg -m	67
92	spd-say "I am a robot"	68
93	aplay /usr/share/sounds/alsa/Noise.wav	69
94	play /usr/share/sounds/alsa/Noise.wav	69
95	beep	70
96	amixer set Master mute	71
97	pactl set-sink-mute 0 1	71
98	ffmpeg -f image2 -i image%d.jpg [fileName].mpg	72
99	ffmpeg -i video.mpg image%d.jpg	73
100	ffmpeg -i source_video.avi -vn -ar 44100 -ac 2 -ab 192k -f mp3 sound.mp3	74
101	ffmpeg -i video_origine.mpg video_finale.avi	75
102	ffmpeg -i video_origine.avi video_finale.mpg	76
103	ffmpeg -i video_origine.avi -ab 56 -ar 44100 -b 200 -r 15 -s 320x240 -f flv video_finale.flv	77
104	ffmpeg -i video_origine.avi gif_anime.gif	78
105	cat /etc/NetworkManager/system-connections/[SSID] | grep psk=	79
106	lspci | egrep -i --color 'network|ethernet'	80
107	ifconfig -a	80
108	ip link show	80
109	lshw -class network	80
110	cat /proc/net/dev	80
111	wget [url]	81
112	curl -O [url]	81
113	whois [ip]	82
114	ping [ip]	83
115	ifconfig	84
116	hostname [ip]	85
117	traceroute [ip]	86
118	telnet [ip] [port]	87
119	dig [ip]	88
120	dhclient -r	89
121	netstat -l	90
122	lsof -i	90
123	find / -iname "[query]"	91
124	locate [query]	92
125	which [command]	93
126	whereis [command]	94
127	history | grep [phrase]	95
128	find / -mmin -60	96
129	find / -cmin -60	97
130	find / -atime 7	98
131	grep [query] [file]	99
132	find / -size +10M -size -100M	100
133	groupadd [name]	101
134	addgroup [name]	101
135	groupdel [name]	102
136	groupmod -n [newGroupname] [oldGroupname]	103
137	useradd [name]	104
138	adduser [name]	104
139	userdel [name]	105
140	deluser [name]	105
141	usermod -l [newUsername] [oldUsername]	106
142	passwd [name]	107
143	usermod -a -G sudo [user]	108
144	adduser [user] sudo	108
145	finger [user]	109
146	usermod -aG [groupName] [userName]	110
147	adduser [userName] [groupName]	110
148	gpasswd -a [userName] [groupName]	110
149	useradd -G [group] [user]	111
150	gpasswd -d [user] [group]	112
151	deluser [user] [group]	112
152	getent group	113
153	cat /etc/group	113
154	getent passwd	114
155	cat /etc/passwd	114
156	yersinia	115
157	thc-ipv6	115
158	sqlmap	115
159	termineter	115
160	searchsploit	115
161	msfpc	115
162	msfconsole	115
163	beef-xss	115
164	setoolkit	115
165	cewl	116
166	crunch	116
167	hashcat	116
168	john	116
169	medusa	116
170	ncrack	116
171	ophcrack	116
172	pyrit	116
173	rcrack	116
174	hydra	116
175	autopsy	117
176	binwalk	117
177	bulk_extractor	117
178	chkrootkit	117
179	foremost	117
180	galleta	117
181	hashdeep	117
182	volatility	117
183	driftnet	118
184	ettercap	118
185	macchanger	118
186	mitmproxy	118
187	netsniff-ng	118
188	wireshark	118
189	dmitry	119
190	ike-scan	119
191	netdiscover	119
192	nmap	119
193	zenmap	119
194	lynis	120
195	nikto	120
196	nmap	120
197	httrack	121
198	skipfish	121
199	sqlmap	121
200	mdb-sql	122
201	sqlitebrowser	122
202	sqlmap	122
203	cewl	123
204	aircrack-ng	123
205	chirpw	123
206	giskismet	123
207	kismet	123
208	mfoc	123
209	mfterm	123
210	reaver	123
211	wifite	123
212	cutycapt	124
213	keepnote	124
214	recordmydesktop	124
215	snap install [packageName]	125
216	flatpak install [remote] [packageName]	125
217	apt install [packageName]	125
218	yum install [packageName]	125
219	dnf install [packageName]	125
220	pkg install [packageName]	125
221	apt-get install [packageName]	125
222	pacman -S [packageName]	125
223	pip install [packageName]	125
224	zypper install [packageName]	125
225	flatpak install [package.flatpakref]	126
226	dpkg -i [package.deb]	126
227	yum install [package.rpm]	126
228	dnf install [package.rpm]	126
229	pkg add [package.txz]	126
230	pacman -U [package.tar.gz]	126
231	pip install [/path/to/package]	126
232	snap remove [packageName]	127
233	apt-get remove [packageName]	127
234	apt remove [packageName]	127
235	dnf erase [packageName]	127
236	pkg delete [packageName]	127
237	pacman -R [packageName]	127
238	pip uninstall [packageName]	127
239	zypper rm [packageName]	127
240	snap find [query]	128
241	flatpak search [query]	128
242	apt-cache search [query]	128
243	apt search [query]	128
244	yum search [query]	128
245	dnf search [query]	128
246	pkg search [query]	128
247	pacman -Ss [query]	128
248	pip search [query]	128
249	zypper search [packageName]	128
250	snap info [packageName]	129
251	apt-cache show [packageName]	129
252	apt show [packageName]	129
253	dpkg -s [packageName]	129
254	yum info [packageName]	129
255	dnf info [packageName]	129
256	pkg info [packageName]	129
257	pacman -Si [packageName]	129
258	pip show [packageName]	129
259	apt-get update	130
260	apt update	130
261	yum check-update	130
262	dnf check-update	130
263	pkg update	130
264	pacman -S	130
265	zypper refresh	130
266	snap refresh	131
267	flatpak update	131
268	apt-get upgrade	131
269	apt upgrade	131
270	yum update	131
271	dnf upgrade	131
272	pkg upgrade	131
273	pacman -Syu	131
274	pip install [packageName] --upgrade	131
275	zypper update	131
276	add-apt-repository ppa:[userName]/[ppaName]	132
277	add-apt-repository deb [url] [derivative]	132
278	yum-config-manager --add-repo [url]	132
279	dnf config-manager --add-repo [url]	132
280	zypper addrepo [url] [alias]	132
281	sudo !!	133
282	python -m SimpleHTTPServer	134
283	^foo^bar	135
284	ctrl-x e	136
285	'ALT+.' or '<ESC> .'	137
286	reset	138
287	mount | column -t	139
288	echo "ls -l" | at midnight	140
289	curl ifconfig.me	141
290	man ascii	142
291	dig +short txt <keyword>.wp.dg.cx	143
292	dd if=/dev/dsp | ssh -c arcfour -C username@host dd of=/dev/dsp	144
293	<ctrl+u> [...] <ctrl+y>	145
294	sshfs name@server:/path/to/folder /path/to/mount/point	146
295	mount -t tmpfs tmpfs /mnt -o size=1024m	147
296	wget --random-wait -r -p -e robots=off -U mozilla http://www.example.com	148
297	ctrl-l	149
298	curl -u user:pass -d status="Tweeting from the shell" http://twitter.com/statuses/update.xml	150
299	ssh user@host cat /path/to/remotefile | diff /path/to/localfile -	151
300	time read (ctrl-d to stop)	152
301	ssh -t reachable_host ssh unreachable_host	153
302	telnet towel.blinkenlights.nl	154
303	less +F somelogfile	155
304	disown -a && exit	156
305	while sleep 1;do tput sc;tput cup 0 $(($(tput cols)-29));date;tput rc;done &	157
306	net rpc shutdown -I ipAddressOfWindowsPC -U username%password	158
307	history | awk '{a[$2]++}END{for(i in a){print a[i] " " i}}' | sort -rn | head	159
308	ping -i 60 -a IP_address	160
309	getconf LONG_BIT	161
310	<alt> + <print screen/sys rq> + <R> - <S> - <E> - <I> - <U> - <B>	162
311	echo "You can simulate on-screen typing just like in the movies" | pv -qL 10	163
312	ps aux | sort -nk +4 | tail	164
313	mv filename.{old,new}	165
314	pushd /tmp	166
315	\[command]	167
316	some_very_long_and_complex_command # label	168
317	lsof -i	169
318	diff <(sort file1) <(sort file2)	170
319	echo "!!" > foo.sh	171
320	rm !(*.foo|*.bar|*.baz)	172
321	lsof -P -i -n	173
322	nc -v -l 80 < file.ext	174
323	!*	175
324	awk '/start_pattern/,/stop_pattern/' file.txt	176
325	CDPATH=:..:~:~/projects	177
326	echo "The date is: $(date +%D)"	178
327	ifconfig | convert label:@- ip.png	179
328	vim -x <FILENAME>	180
329	man hier	181
330	fuser -k filename	182
331	awk '!x[$0]++' <file>	183
332	find -not -empty -type f -printf "%s\n" | sort -rn | uniq -d | xargs -I{} -n1 find -type f -size {}c	184
333	python -m smtpd -n -c DebuggingServer localhost:1025	185
334	!:-	186
335	cat /etc/issue	187
336	ssh-copy-id username@hostname	188
337	wget -qO - "http://www.tarball.com/tarball.gz" | tar zxvf -	189
338	ps aux | grep [p]rocess-name	190
339	translate(){ wget -qO- "http://ajax.googleapis.com/ajax/services/language/translate?v=1.0&q=$1&langp	191
340	tr -c "[:digit:]" " " < /dev/urandom | dd cbs=$COLUMNS conv=unblock | GREP_COLOR="1;32" grep --color	192
341	mplayer -ao pcm -vo null -vc dummy -dumpaudio -dumpfile <output-file> <input-file>	193
342	ESC *	194
343	cat ~/.ssh/id_rsa.pub | ssh user@machine "mkdir ~/.ssh; cat >> ~/.ssh/authorized_keys"	195
344	rename 'y/ /_/' *	196
345	dd if=/dev/mem | cat | strings	197
346	readom dev=/dev/scd0 f=/path/to/image.iso	198
347	strace -ff -e trace=write -e write=1,2 -p SOME_PID	199
348	? () { echo "$*" | bc -l; }	200
349	i="8uyxVmdaJ-w";mplayer -fs $(curl -s "http://www.youtube.com/get_video_info?&video_id=$i" | echo -e	201
350	pv sourcefile > destfile	202
351	ls -R | grep ":$" | sed -e 's/:$//' -e 's/[^-][^\/]*\//--/g' -e 's/^/   /' -e 's/-/|/'	203
352	alias 'ps?'='ps ax | grep '	204
353	fc	205
354	git add -u	206
355	mkdir /home/foo/doc/bar && cd $_	207
356	man -t manpage | ps2pdf - filename.pdf	208
357	rm -f !(survivior.txt)	209
358	mkdir -p a/long/directory/path	210
359	read day month year <<< $(date +'%d %m %y')	211
360	ss -p	212
361	vim scp://username@host//path/to/somefile	213
362	^Z $bg $disown	214
363	strings /dev/urandom | grep -o '[[:alnum:]]' | head -n 30 | tr -d '\n'; echo	215
364	pv access.log | gzip > access.log.gz	216
365	netstat -an | grep ESTABLISHED | awk '{print $5}' | awk -F: '{print $1}' | sort | uniq -c | awk '{ p	217
366	grep -RnisI <pattern> *	218
367	ffmpeg -f x11grab -r 25 -s 800x600 -i :0.0 /tmp/outputFile.mpg	219
368	date -d@1234567890	220
369	watch -n 1 mysqladmin --user=<user> --password=<password> processlist	221
370	notify-send ["<title>"] "<body>"	222
371	for code in {0..255}; do echo -e "\e[38;05;${code}m $code: Test"; done	223
372	gs -q -dNOPAUSE -dBATCH -sDEVICE=pdfwrite -sOutputFile=OUTPUT.pdf -c .setpdfwrite -f INPUT.pdf	224
373	curl -u username:password --silent "https://mail.google.com/mail/feed/atom" | tr -d '\n' | awk -F '<	225
374	cmdfu(){ curl "http://www.commandlinefu.com/commands/matching/$@/$(echo -n $@ | openssl base64)/plai	226
375	watch -t -n1 "date +%T|figlet"	227
376	dpkg -S /usr/bin/ls	228
377	dd if=/dev/zero of=/dev/null bs=1M count=32768	229
378	mount /path/to/file.iso /mnt/cdrom -oloop	230
379	du -s * | sort -n | tail	231
380	ssh -MNf <user>@<host>	232
381	ssh-keygen -R <the_offending_host>	233
382	open .	234
383	chmod --reference file1 file2	235
384	ps awwfux | less -S	236
385	ssh -t remote_host screen -r	237
386	echo "rm -rf /unwanted-but-large/folder" | batch	238
387	bind -P	239
388	timeout 5s COMMAND	240
389	cat /dev/urandom | hexdump -C | grep "ca fe"	241
390	find . -type d -empty -delete	242
391	cp file.txt{,.bak}	243
392	sed -n 5p <file>	244
393	ssh -t hostA ssh hostB	245
394	tar -tf <file.tar.gz> | xargs rm -r	246
395	% screen -r someuser/	247
396	rtfm() { help $@ || man $@ || $BROWSER "http://www.google.com/search?q=$@"; }	248
397	script -qf | tee >(nc -kl 5000) >(nc -kl 5001) >(nc -kl 5002)	249
398	google docs edit --title "To-Do List" --editor vim	250
399	diff <(lsof -p 1234) <(sleep 10; lsof -p 1234)	251
400	touch /forcefsck	252
401	curl wttr.in/seville	253
402	until !!; do :; done	254
403	date --set="$(ssh user@server date)"	255
404	wget -q -U Mozilla -O output.mp3 "http://translate.google.com/translate_tts?ie=UTF-8&tl=en&q=hello+w	256
405	ls -d */	257
406	curl ifconfig.me	258
407	lsof -i tcp:80	259
408	du -b --max-depth 1 | sort -nr | perl -pe 's{([0-9]+)}{sprintf "%.1f%s", $1>=2**30? ($1/2**30, "G"):	260
409	ssh root@remote.host "rpm -qa" | xargs yum -y install	261
410	lsmod | perl -e 'print "digraph \"lsmod\" {";<>;while(<>){@_=split/\s+/; print "\"$_[0]\" -> \"$_\"\	262
411	wget http://www.youtube.com/watch?v=dQw4w9WgXcQ -qO- | sed -n "/fmt_url_map/{s/[\'\"\|]/\n/g;p}" | s	263
412	watch -n 1 'echo "obase=2;`date +%s`" | bc'	264
413	leave +15	265
414	wget -r -l1 --no-parent -nH -nd -P/tmp -A".gif,.jpg" http://example.com/images	266
415	grep ^Dirty /proc/meminfo	267
416	for I in $(mysql -e 'show databases' -s --skip-column-names); do mysqldump $I | gzip > "$I.sql.gz"; 	268
417	:<C-R><C-W>	269
418	mkdir -p work/{d1,d2}/{src,bin,bak}	270
419	youtube-dl -t --extract-audio --audio-format mp3 YOUTUBE_URL_HERE	271
420	cp /work/host/phone/ui/main.cpp !#$:s/host/target	272
421	echo "tee can split a pipe in two"|tee >(rev) >(tr ' ' '_')	273
422	dig +short myip.opendns.com @resolver1.opendns.com	274
423	knock <host> 3000 4000 5000 && ssh -p <port> user@host && knock <host> 5000 4000 3000	275
424	diff <(cd dir1 && find | sort) <(cd dir2 && find | sort)	276
425	export HISTTIMEFORMAT="%F %T "	277
426	find . -name "*.[ch]" -exec grep -i -H "search pharse" {} \;	278
427	find ./ -type f -exec chmod 644 {} \;	279
428	find / -mmin 60 -type f	280
429	showkey -a	281
430	find . -type f -newermt "2010-01-01" ! -newermt "2010-06-01"	282
431	ssh host -l user $(<cmd.txt)	283
432	ccze	284
433	mkfifo /tmp/fifo; cat /tmp/fifo | nc -l -p 1234 | tee -a to.log | nc machine port | tee -a from.log 	285
434	wget -qO - http://infiltrated.net/blacklisted|awk '!/#|[a-z]/&&/./{print "iptables -A INPUT -s "$1" 	286
435	echo | openssl s_client -connect www.google.com:443 2>/dev/null |openssl x509 -dates -noout	287
436	[enter]~?	288
437	python -m http.server	289
438	ls !(*.gz)	290
439	lsof -P -i -n | cut -f 1 -d " "| uniq | tail -n +2	291
440	grep --color=always | less -R	292
441	echo $(sudo lshw -businfo | grep -B 1 -m 1 $(df "/path/to/file" | tail -1 | awk '{print $1}' | cut -	293
442	sed -i 8d ~/.ssh/known_hosts	294
443	:w !sudo tee > /dev/null %	295
444	ssh root@server.com 'tshark -f "port !22" -w -' | wireshark -k -i -	296
445	md () { mkdir -p "$@" && cd "$@"; }	297
446	awk '{$1=$3=""}1' file	298
447	alias dush="du -sm *|sort -n|tail"	299
448	tar --exclude-vcs -cf src.tar src/	300
449	grep . filename > newfilename	301
450	history -d	302
451	kill -9 $$	303
452	ssh -t user@some.domain.com /usr/bin/screen -xRR	304
453	mysqldump --add-drop-table --extended-insert --force --log-error=error.log -uUSER -pPASS OLD_DB_NAME	305
454	echo ${SSH_CLIENT%% *}	306
455	echo $[RANDOM%X+1]	307
456	<ctrl+z> fg; notify_me	308
457	:TOhtml	309
458	arecord -f dat | ssh -C user@host aplay -f dat	310
459	lshw -html > hardware.html	311
460	:mksession! <filename>	312
461	for file in `ls *.pdf`; do convert -verbose -colorspace RGB -resize 800 -interlace none -density 300	313
462	bind -x '"\C-l":ls -l'	314
463	find / -type f -size +500M	315
464	pdftotext [file] - | grep 'YourPattern'	316
465	yes | pv | ssh $host "cat > /dev/null"	317
466	date -d @1234567890	318
467	strings /dev/mem	319
468	tidy -xml -i -m [file]	320
469	ssh remotehost 'dpkg --get-selections' | dpkg --set-selections && dselect install	321
470	lsof -Pan -i tcp -i udp	322
471	grep -Fx -f file1 file2	323
472	alias head='head -n $((${LINES:-`tput lines 2>/dev/null||echo -n 12`} - 2))'	324
473	apt-get install most && update-alternatives --set pager /usr/bin/most	325
474	nl	326
475	diff <(echo "$a") <(echo "$b")	327
476	killall -STOP -m firefox	328
477	lynx -accept_all_cookies -cmd_script=/your/keystroke-file	329
478	svn log -q|grep "|"|awk "{print \$3}"|sort|uniq -c|sort -nr	330
479	CTRL + T	331
480	bc <<< 'obase=60;299'	332
481	( command & )	333
482	diff <(lsusb) <(sleep 3s && lsusb)	334
483	DISPLAY=:0.0 import -window root /tmp/shot.png	335
484	vi +/pattern [file]	336
485	PROMPT_COMMAND='if [ $RANDOM -le 3200 ]; then printf "\0337\033[%d;%dH\033[4%dm \033[m\0338" $((RAND	337
486	tar -cf - . | pv -s $(du -sb . | awk '{print $1}') | gzip > out.tgz	338
487	some_command > >(/bin/cmd_for_stdout) 2> >(/bin/cmd_for_stderr)	339
488	( ( sleep 2h; your-command your-args ) & )	340
489	cd !$:h	341
490	perl -e 'print "P1\n256 256\n", map {$_&($_>>8)?1:0} (0..0xffff)' | display	342
491	command | figlet	343
492	lsof -c dhcpd	344
493	curl -Is slashdot.org | egrep '^X-(F|B|L)' | cut -d \- -f 2	345
494	$ grep -rl oldstring . |xargs sed -i -e 's/oldstring/newstring/'	346
495	xset dpms force standby	347
496	bash -x ./post_to_commandlinefu.sh	348
497	netstat -ant | awk '{print $NF}' | grep -v '[a-z]' | sort | uniq -c	349
498	tar --create --file - --posix --gzip -- <dir> | openssl enc -e -aes256 -out <file>	350
499	read -s pass; echo $pass | md5sum | base64 | cut -c -16	351
500	file -s /dev/sd*	352
501	rm *.txt <TAB> <TAB>	353
502	<ESC> .	354
503	xkcd(){ wget -qO- http://xkcd.com/|tee >(feh $(grep -Po '(?<=")http://imgs[^/]+/comics/[^"]+\.\w{3}'	355
504	read -sn 1 -p "Press any key to continue..."	356
505	clfavs(){ URL="http://www.commandlinefu.com";wget -O - --save-cookies c --post-data "username=$1&pas	357
506	sed -r "s/\x1B\[([0-9]{1,2}(;[0-9]{1,2})?)?[m|K]//g"	358
507	tar -cj /backup | cstream -t 777k | ssh host 'tar -xj -C /backup'	359
508	./my-really-long-job.sh && notify-send "Job finished"	360
509	sl	361
510	stat -c '%A %a %n' *	362
511	nc -l -p 2000 -c "nc example.org 3000"	363
512	lynx -dump http://www.ip-adress.com/ip_tracer/?QRY=$1|grep address|egrep 'city|state|country'|awk '{	364
513	man -t UNIX_COMMAND | open -f -a preview	365
514	[[ test_condition ]] && if_true_do_this || otherwise_do_that	366
515	ctrl-t	367
516	find ~ -name '*.sqlite' -exec sqlite3 '{}' 'VACUUM;' \;	368
517	column -tns: /etc/passwd	369
518	script -t /tmp/mylog.out 2>/tmp/mylog.time; <do your work>; <CTRL-D>; scriptreplay /tmp/mylog.time /	370
519	bind '"\C-l":"ls -l\n"'	371
520	cut -f5 --complement	372
521	ls -Q	373
522	dd if=/dev/sda | tee >(dd of=/dev/sdb) | dd of=/dev/sdc	374
523	(echo CD_DA; for f in {01..99}; do echo "$f Hz">&2; sox -nt cdda -r44100 -c2 $f.cdda synth 30 sine $	375
524	bbcradio() { local s PS3="Select a station: ";select s in 1 1x 2 3 4 5 6 7 "Asian Network an" "Natio	376
525	curl ip.appspot.com	377
526	dpkg-query -Wf '${Installed-Size}\t${Package}\n' | sort -n	378
527	nethogs -p eth0	379
528	timeout 10 sleep 11	380
529	echo "foo" > /dev/tcp/192.168.1.2/25	381
530	svn diff | view -	382
531	grep -lir "some text" *	383
532	true && { echo success;} || { echo failed; }	384
533	rsync --partial --progress --rsh=ssh  $file_source $user@$host:$destination_file	385
534	sudo zcat /var/log/auth.log.*.gz | awk '/Failed password/&&!/for invalid user/{a[$9]++}/Failed passw	386
535	some_command | tee >(command1) >(command2) >(command3) ... | command4	387
536	tail -f file | while read; do echo "$(date +%T.%N) $REPLY"; done	388
537	<COMMAND> |:	389
538	ln -nsf <TARGET> <LINK>	390
539	echo "GRUB_INIT_TUNE=\"1000 334 1 334 1 0 1 334 1 0 1 261 1 334 1 0 1 392 2 0 4 196 2\"" | sudo tee 	391
540	fdupes -r .	392
541	~.	393
542	grep -a -B 25 -A 100 'some string in the file' /dev/sda1 > results.txt	394
543	alias busy='my_file=$(find /usr/include -type f | sort -R | head -n 1); my_len=$(wc -l $my_file | aw	395
544	rename 'y/A-Z/a-z/' *	396
545	touch /tmp/file ; $EXECUTECOMMAND ; find /path -newer /tmp/file	397
546	gnuplot -persist <(echo "plot '<(sort -n listOfNumbers.txt)' with lines")	398
547	ffmpeg -vcodec copy -acodec copy -i orginalfile -ss 00:01:30 -t 0:0:20 newfile	399
548	tail -10000 access_log | awk '{print $1}' | sort | uniq -c | sort -n | tail	400
549	nocache <I/O-heavy-command>	401
550	for i in ?.ogg; do mv $i 0$i; done	402
551	sudo cpulimit -p pid -l 50	403
552	shuf -n4 /usr/share/dict/words | tr -d '\n'	404
553	ssh -f -L 5900:localhost:5900 your.ssh.server "x11vnc -safer -localhost -nopw -once -display :0"; vi	405
554	diff <(wget -q -O - URL1) <(wget -q -O - URL2)	406
555	nmap -sP 192.168.1.0/24	407
556	ps hax -o user | sort | uniq -c	408
557	alias dateh='date --help|sed -n "/^ *%%/,/^ *%Z/p"|while read l;do F=${l/% */}; date +%$F:"|'"'"'${F	409
558	echo {1..199}" bottles of beer on the wall, cold bottle of beer, take one down, pass it around, one 	410
559	[ -t 0 ] || exit 1	411
560	echo -e "\e[32m"; while :; do for i in {1..16}; do r="$(($RANDOM % 2))"; if [[ $(($RANDOM % 5)) == 1	412
561	/sbin/kexec -l /boot/$KERNEL --append="$KERNELPARAMTERS" --initrd=/boot/$INITRD; sync; /sbin/kexec -	413
562	some command|xsel --clipboard	414
563	ls -hog	415
564	git rm $(git ls-files --deleted)	416
565	sed '1000000!d;q' < massive-log-file.log	417
566	(mountpoint -q "/media/mpdr1" && df /media/mpdr1/* > /dev/null 2>&1) || ((sudo umount "/media/mpdr1"	418
567	sudo tcpdump -i wlan0 -n ip | awk '{ print gensub(/(.*)\..*/,"\\1","g",$3), $4, gensub(/(.*)\..*/,"\	419
568	getconf LONG_BIT	420
569	ssh user@host "tar -zcf - /path/to/dir" > dir.tar.gz	421
570	<ESC> v or ctrl-x ctrl-e	422
571	wall <<< "Broadcast This"	423
572	telnet towel.blinkenlights.nl 666	424
573	echo "export DISPLAY=:0; export XAUTHORITY=~/.Xauthority; notify-send test" | at now+1minute	425
574	udevadm monitor	426
575	bash-hotkey: <CTRL+x+e>	427
576	pwdx pid	428
577	echo "obase=2; 27" | bc -l	429
578	set -o vi	430
579	ssh-keygen; ssh-copy-id user@host; ssh user@host	431
580	taskset -c 0 your_command	432
581	rename 'y/A-Z/a-z/' *	433
582	history | awk '{print $2}' | sort | uniq -c | sort -rn | head	434
583	data:text/html, <html contenteditable>	435
584	zdump Japan America/New_York	436
585	dmesg -T|sed -e 's|\(^.*'`date +%Y`']\)\(.*\)|\x1b[0;34m\1\x1b[0m - \2|g'	437
586	echo "This text gets stamped on the top of the pdf pages." | enscript -B -f Courier-Bold16 -o- | ps2	438
587	awk 'BEGIN{FS=":"; print "digraph{"}{split($4, a, ","); for (i in a) printf "\"%s\" [shape=box]\n\"%	439
588	while true; do nc -l 7000 | tar -xvf -; done	440
589	\foo	441
590	mkfifo foo; script -f foo	442
591	df -P | column -t	443
592	mycommand 2> >(while read line; do echo -e "\e[01;31m$line\e[0m"; done)	444
593	au BufWritePost * if getline(1) =~ "^#!" | if getline(1) =~ "/bin/" | silent !chmod +x <afile> | end	445
594	convert *.jpg output.pdf	446
595	sudo dd if=/dev/sdc bs=4096 | pv -s 2G | sudo dd bs=4096 of=~/USB_BLACK_BACKUP.IMG	447
596	:g/^$/d	448
597	date +%V	449
598	for db in $(mysql -e 'show databases' -s --skip-column-names); do mysqldump $db | gzip > "/backups/m	450
599	ncdu	451
600	tr : '\n' <<<$PATH	452
601	autossh -M50000 -t server.example.com 'screen -raAd mysession'	453
602	diff -urp /originaldirectory /modifieddirectory	454
603	find . -type f -print0|xargs -0 md5sum|sort|perl -ne 'chomp;$ph=$h;($h,$f)=split(/\s+/,$_,2);print "	455
604	find -L /path/to/check -type l -delete	456
605	cd ~/.mozilla/firefox/ && sqlite3 `cat profiles.ini | grep Path | awk -F= '{print $2}'`/formhistory.	457
606	cat count.txt | awk '{ sum+=$1} END {print sum}'	458
607	^A ?	459
608	nmap -sT -p 80 -oG - 192.168.1.* | grep open	460
609	curl ipinfo.io	461
